Source,Target
330594,91
339622,213
339622,257
339622,404
342003,404
339622,432
330594,449
330603,449
339622,449
56844,461
221727,574
339622,645
357340,645
339622,733
314121,783
330594,783
330544,783
330588,783
330613,783
330638,783
330680,783
342003,783
314121,795
330594,795
330544,795
330588,795
330613,795
330638,795
330680,795
342003,795
330531,806
314121,810
330594,810
330544,810
330588,810
330613,810
330638,810
330680,810
342003,810
314121,892
330594,892
330544,892
330588,892
330613,892
330638,892
330680,892
342003,892
97286,925
339622,925
330594,936
105956,997
339622,997
111718,1006
322047,1078
330594,1084
339622,1121
342003,1121
63749,1237
295459,1237
330594,1237
339622,1237
342003,1237
357340,1237
339622,1263
314121,1314
158188,1355
330594,1355
314121,1368
330594,1370
339622,1388
123058,1397
314121,1397
314121,1531
344059,1591
66496,1675
66496,1679
330594,1684
66496,1690
133060,1722
339622,1769
339622,1789
97286,1806
161106,1806
319311,1806
339622,1806
357340,1806
221727,1892
330594,1892
339622,1907
322047,1909
339622,1915
322047,1916
339622,1921
339622,1926
339622,1932
330594,1933
330594,2017
339622,2294
339622,2311
19221,2315
2315,2323
2330,2323
19221,2325
2315,2330
339622,2332
342003,2332
330594,2333
63749,2346
66883,2346
140433,2346
221739,2346
295459,2346
302234,2346
330594,2346
330556,2346
333263,2346
336343,2346
338047,2346
339622,2346
339629,2346
26664,2368
105956,2368
302234,2368
339622,2368
342003,2368
63749,2370
106696,2370
302646,2370
339622,2370
342003,2370
339622,2372
69182,2413
339622,2413
267310,2626
330504,2626
339622,2626
97286,2723
149118,2723
339622,2723
158188,2762
357340,2764
330594,2768
330544,2768
339622,2805
339622,2835
66875,2868
66876,2868
314121,2868
339622,2868
342003,2868
158188,2873
330594,2873
123058,2935
314121,2962
158188,3066
330594,3066
96983,3067
339622,3067
158188,3075
330594,3075
339622,3081
116226,3088
158188,3097
161106,3097
330594,3097
330544,3097
330621,3097
339622,3097
339629,3097
158188,3197
330594,3197
158188,3309
330594,3362
330504,3405
330594,3405
339622,3512
205534,3524
153147,3594
314121,3594
330594,3614
339622,3614
339622,3626
339622,3631
158188,3661
330594,3661
339622,3698
227700,3747
339622,3752
339622,3765
158188,3867
330594,3867
330594,3878
339622,3878
330504,3934
339622,3934
158188,3971
330594,3971
228526,4131
228526,4133
339622,4136
63749,4149
275883,4149
302234,4149
339622,4149
339885,4149
342003,4149
357340,4149
322047,4161
206384,4171
330504,4192
330594,4192
330588,4192
221727,4193
221744,4193
339622,4193
342003,4193
144258,4200
330594,4200
339629,4200
339622,4223
309299,4252
339622,4252
330594,4253
330638,4253
19221,4278
158188,4279
330594,4279
330638,4279
158188,4285
330594,4285
333465,4285
330594,4294
330594,4325
339622,4328
123058,4335
330594,4337
339622,4349
339622,4351
158188,4363
330594,4363
339622,4376
66496,4378
158188,4422
330594,4422
339622,4463
330504,4514
339622,4530
339948,4530
158184,4542
221727,4542
330594,4542
333263,4542
339622,4542
314121,4545
158184,4756
221727,4756
330594,4756
333263,4756
339622,4756
118062,5110
118062,5112
118062,5117
118062,5603
330594,5741
118062,5764
330594,5918
330504,5930
339622,5930
158188,5944
330594,5944
339622,5944
339885,5944
29963,5953
106696,5953
140433,5953
333768,6016
333768,6017
66496,6031
283564,6111
283564,6124
330504,6181
330594,6181
330603,6181
330504,6183
330594,6183
26559,6340
330594,6340
330621,6340
339622,6341
330594,6346
147157,6348
228526,6348
140433,6352
330594,6352
330594,6368
275883,6373
339622,6373
342003,6373
314121,6375
302234,6377
339622,6377
342003,6377
158188,6397
330594,6397
330594,6401
330504,6405
185004,6406
197545,6406
330504,6406
339622,6406
302234,6407
339622,6407
342003,6407
8654,6408
275909,6408
330504,6408
339622,6408
340165,6408
342003,6408
330594,6421
228526,6433
330594,6444
330594,6445
158188,6464
330594,6464
339622,6464
333598,6468
330594,6470
330544,6470
339622,6470
8654,6691
339622,6788
13452,6823
339622,6829
6911,6890
144258,6911
275883,6950
178992,7103
339622,7176
129479,7204
339622,7204
330594,7222
330531,7250
338047,7250
339622,7250
342003,7250
339622,7286
339622,7299
206384,7352
339622,7428
283564,8048
330594,8048
339622,8048
342003,8048
330594,8056
330638,8056
339622,8056
342003,8056
123058,8139
69182,8173
151110,8173
275852,8173
339622,8173
330594,8189
339622,8189
339622,8228
314121,8632
6911,8648
8654,8648
339622,8648
8654,8649
8654,8651
314121,8651
322047,8653
342003,8653
140433,8654
302234,8654
314121,8654
330531,8654
339622,8654
342003,8654
357340,8654
8654,8655
8654,8659
8654,8662
304813,8662
8654,8664
8654,8668
8686,8668
8654,8671
8654,8679
8654,8686
63749,8686
339622,8686
288812,8687
275946,8692
276021,8692
314121,8692
330531,8692
339622,8692
288812,8697
339622,8752
330531,8770
339622,8770
330594,8809
158188,8925
330594,8925
339622,8939
339622,8980
97286,8984
339622,8984
87712,8991
330594,8991
330504,8994
330594,8994
330588,8994
333636,8994
339622,8994
87712,8997
330556,8997
97286,9004
99762,9004
147353,9004
305769,9004
339622,9004
342003,9004
158188,9009
330594,9009
87712,9010
330556,9010
330531,9023
336343,9023
339622,9023
322047,9027
158188,9040
330594,9040
339622,9081
232821,9091
158188,9165
330504,9165
330594,9165
330588,9165
94919,9180
339622,9180
314121,9182
330594,9203
158188,9214
339622,9223
330594,9274
321918,9385
232637,9397
330594,9397
339622,9397
158188,9486
330594,9486
158188,9559
330594,9559
283564,9610
123058,9702
133060,9735
251906,9735
266866,9758
339622,9758
314121,9927
339622,9927
342003,9927
342003,9974
330531,9982
339622,9982
66496,9994
322047,10063
158188,10106
302646,10106
330594,10106
158188,10127
302646,10127
330594,10127
228526,10181
19221,10203
118062,10257
27544,10284
283564,10284
330594,10284
339622,10284
339622,10330
330594,10349
339622,10349
330594,10527
147157,10607
314121,10607
342003,10607
132826,10620
185005,10620
330594,10622
10620,10623
185004,10623
307987,10655
339622,10655
342003,10655
185845,10688
185947,10688
339622,10688
339622,10692
330594,10717
330621,10717
66634,10739
158188,10814
330594,10814
123058,10891
314121,10891
330556,10891
162678,10899
330504,10899
339622,10899
66496,10911
330594,10959
201680,10990
330594,11005
330638,11005
330504,11015
330594,11015
330603,11015
123058,11021
133060,11021
158188,11021
314121,11035
302255,11075
330594,11075
6911,11102
97286,11102
129667,11102
161106,11102
202052,11102
221727,11102
275883,11102
339885,11102
340165,11102
357340,11102
339622,11326
342003,11326
97286,11515
338047,11515
339622,11515
342003,11515
11578,11577
158188,11577
330594,11577
158188,11578
330594,11578
123058,11603
158188,11664
330594,11664
330638,11664
302234,11685
339622,11685
342003,11685
330504,11701
339622,11701
118062,11739
330504,11762
339622,11762
190798,11785
190798,11787
330594,11787
144258,11793
339622,11793
97286,11804
97283,11804
339622,11804
330594,11843
330621,11843
97286,11871
339622,11871
123058,12018
158188,12312
330594,12312
330544,12312
330588,12312
333636,12312
339622,12312
54654,12326
221727,12326
330594,12326
330588,12326
333483,12326
339622,12326
19221,12372
322047,12515
63749,12819
140433,12819
339622,12819
318776,12918
