Package Name,ID,Class
0.0.1,27,1
125softnlp,91,0
3d-connectx-env,213,0
3p0,240,1
4996,257,0
3deecelltracker,301,1
a2ml,377,1
a2t,404,1
a5dev,432,0
a3t,449,0
aaapi,461,0
aadeeplearning,486,1
aad2onnx,574,0
aautt,645,0
abcgan,733,0
abdelrahman-obfuscate,783,0
abdo,795,0
abeja-sdk,806,0
abdo-obfuscate,810,0
abel-pytorch,849,1
abdoconvo,892,0
ablooper,925,0
abmarl,936,0
aboleth,971,1
ablang,997,0
abraham3k,1006,0
abstcal,1078,0
abstractmlbasemodeltask,1084,0
absum,1121,1
abu-quant,1132,1
accelbrainbeat,1215,1
accel-brain-base,1216,1
accelerate,1237,1
accern-xyme,1263,0
acclimatise,1314,0
accuinsight,1355,0
accuracy,1368,0
acdc-nn,1370,0
acd,1388,1
acdh-spacytei,1397,0
aclimatise,1531,0
acopy,1591,1
acryl-datahub-airflow-plugin,1675,0
acryl-datahub-actions,1679,0
acsni,1684,0
acryl-datahub,1690,0
actico-ml,1722,0
actflow,1737,1
activations,1769,1
active-learning-img-augmentation-utils,1789,0
active-pre-train-ppg,1806,1
actorch,1854,1
acuitylite,1892,0
adabelief-slim,1907,1
acv-exp,1909,0
adabelief-pytorch,1915,0
acv-dev,1916,0
adabound,1921,1
adafmnoisereducer,1926,0
adafdr,1932,0
adabelief-tf,1933,0
actspotter,2017,0
adafruit-circuitpython-lis3mdl,2077,1
adafruit-circuitpython-lsm303dlh-mag,2079,1
adafruit-circuitpython-lsm303agr-mag,2080,1
adafruit-circuitpython-lsm6dsox,2081,1
adafruit-circuitpython-lsm6ds,2082,1
adafruit-circuitpython-lsm303,2085,1
adafruit-circuitpython-lsm303-accel,2087,1
adafruit-circuitpython-lis2mdl,2089,1
adafruit-circuitpython-lsm9ds0,2092,1
adafruit-circuitpython-lsm9ds1,2095,1
adamod,2294,1
adamp,2296,1
adam-robotics,2311,1
adaptation,2313,1
adaptdl,2315,1
adanet,2316,1
adapt,2319,1
adaptdl-ray,2323,1
adaptdl-modified-pandyaka,2325,0
adaptdl-cli,2328,1
adaptdl-sched,2330,1
adapted-nerda,2332,0
adapt-diagnostics,2333,0
adapter-transformers,2346,1
adaptor,2368,1
adaptnlp,2370,1
adas,2372,1
adbdgl-adapter,2413,0
address-net,2579,1
adeptrl,2626,1
adjacent-attention-pytorch,2723,1
adlframework,2746,1
adl-recognition,2762,0
adjutant-discord,2764,1
adlstream,2768,1
admin-torch,2805,0
adn-torch,2835,1
adorad,2860,1
adonisai,2868,1
adpred,2873,0
ads-linguistics,2935,0
adsp,2962,0
advancedanalytics,2988,1
advbox,3046,1
adversal-embedding,3066,0
adventurous-gauging-koplik,3067,0
adversarials,3072,1
adversarial-friend,3075,0
advertorch,3079,1
advhash,3081,0
adversarial-vision-challenge,3088,1
adversarial-robustness-toolbox,3097,0
aegis-model,3197,0
aeronet,3309,0
aesahaettr,3362,0
aestream,3392,1
aether,3405,0
aetros,3421,1
affordable,3512,0
afilter,3524,0
afrotranslate,3594,0
af-res-model-manager,3608,1
afqinsight,3614,0
aft-pt,3626,1
aft-pytorch,3631,1
afterrealism,3645,1
afxano-keras,3661,0
agc-optims,3698,0
agentfc,3747,0
agentrl,3752,0
agents,3756,1
agent-smith,3765,1
aglvq,3867,0
agml,3878,0
aglioolio,3905,1
agnes,3934,1
agoge,3935,1
agrothon,3971,0
ahelper,4105,1
ai,4118,1
ai2xl,4131,0
ai2xlcore,4133,0
ai4bharat-transliteration,4136,0
ai2-tango,4149,1
ai4water,4158,1
aiap-model,4161,0
ai-benchmark,4163,1
aibro,4171,0
aicademecv,4174,1
aichatbot,4192,1
aicmder,4193,0
aicoe-donkeycar,4200,1
aicore,4204,1
ai6,4206,1
ai-core,4223,0
aidapy,4252,0
aidatafactory,4253,0
aidevlog,4278,0
aidkit,4279,0
aibotaditya,4285,0
aidkitmlevaluate,4294,0
aiei,4305,1
ai-economist,4310,1
aif360,4325,1
aifeynman,4328,0
aiflow,4335,0
aiforce,4337,0
ai-graphics-gpu,4349,0
ai-graphics,4351,0
aifs-nni,4353,1
aihub-deep,4363,0
aihwkit,4376,1
aiida-castep,4378,0
ai-harness,4385,1
aiida-phonopy,4418,1
aihub-demo,4422,0
aiinpy,4446,1
ai-katie,4463,0
aimage,4503,1
aim-cli,4514,1
aimd,4520,1
aimmo-models,4530,0
aimfast,4537,1
aimodelshare-nightly,4542,0
aim-spacy,4545,0
ainshamsflow,4588,1
aimodelshare,4756,0
aiocv,4785,1
aiohttp-rest-api-fork,5110,0
aiohttp-rest-api-redoc,5112,0
aiohttp-rest-api,5117,0
aiopslibs,5475,1
aiopslibscancer,5483,1
ai-ops-libs,5534,1
aio.run.runner,5603,0
aiotf,5741,0
aiotmdb,5764,0
aipack,5918,0
ai-projects,5930,0
aiplatgo,5943,1
aiqc,5944,0
ai-python,5953,0
airflow-census-jeetendra,6016,0
airflow-census,6017,0
airelle,6022,1
airflow-ditto,6031,0
airflow-provider-ray,6111,0
airflow-ray-executor,6124,0
aironsuit,6181,0
airontools,6183,0
airsim,6237,1
ai-serving-client,6332,1
ai-serving-server,6340,1
aislib,6341,0
aisquared,6346,0
ai-starter,6348,0
ai-sudoku-solver,6352,0
aisy-database,6354,1
aisy-sca,6356,1
aistnet,6368,0
aitextgenaws,6373,0
aitg-doctools,6375,0
aitg,6377,0
aitk.keras,6385,1
aitk,6396,1
aisimplekit,6397,0
aitk.networks,6401,0
ai-training-utils,6405,0
ai-traineree,6406,1
aitg-host,6407,0
aitoolbox,6408,1
ai-transformersx,6412,1
ai-trainer,6421,0
aiutil,6433,0
ai-utils,6444,0
aisaratuners,6445,0
aix360,6464,1
aiymakerkit,6468,0
aistore,6470,0
akid,6660,1
akkadian,6691,0
alaas,6770,1
aladdin,6788,0
alarmer,6823,0
alaska,6829,0
albumentations-experimental,6890,0
albumentations,6911,1
alchemy,6922,1
alchemy-catalyst,6924,1
alcokit,6950,0
alert-behavior,7103,0
aletheia-dnn,7137,1
alexnet-pytorch,7176,1
alfi,7204,0
alfie,7222,0
alfred-py,7237,1
alfred-collection,7243,1
alfworld,7250,0
algernon,7266,1
algobra,7286,0
algograd,7299,0
algo-profiler,7352,0
algovision,7428,0
alias-free-torch,7453,1
algo-wars,7464,1
alibabacloud-ros-tran,7904,1
alibi,8048,0
alibi-detect,8056,0
align,8139,0
alignn,8173,0
alignreg,8189,0
alisk,8228,0
alkanet-picard,8595,1
alldata,8632,0
allenact,8642,1
allencv,8648,0
allennlp-hydra,8649,0
allennlp-semparse,8651,1
allennlp-datalawyer,8653,0
allennlp,8654,1
allennlp-wordsplitter-ltp,8655,0
allennlp-dataframe-mapper,8659,0
allennlp-shiba,8662,1
allennlp-optuna,8664,0
allenact-plugins,8667,1
allennlp-server,8668,1
allennlp-wordsplitter-corenlp,8671,0
allennlp-runmodel,8679,0
allennlp-models,8686,1
alleycat-reactive,8687,0
allennlp-pvt-nightly,8692,1
alleycat-ui,8697,0
allosaurus,8752,1
allrank,8770,1
allrank-mod,8778,1
alltime,8809,0
alns,8876,1
alnlp,8885,1
alpacka,8925,0
alpa,8934,1
alpaca-ml,8939,0
alphad3m,8980,0
alphafold2,8984,0
alphafold,8991,0
alphadetector,8994,0
alphafold-kagglefold,8997,0
alphafold2-pytorch,9004,1
alpha-finance,9009,0
alphafold-colabfold,9010,0
alphanet,9018,1
alphapose,9023,1
alphapept,9027,0
alphapy,9040,1
alpharotate,9053,1
alphazero,9081,0
alphaviz,9091,0
altena,9165,0
alternat,9180,0
altest,9182,0
altility,9203,0
altify,9206,1
alt-model-checkpoint,9214,0
alto-pointcloud,9223,0
alvadescpy,9258,1
alwakeupword,9274,0
am2,9282,1
amazon-braket-strawberryfields-plugin,9385,0
amazon-braket-pennylane-plugin,9397,0
amber-automl,9486,0
amdnet,9559,0
amgsim,9610,0
amlpp,9702,0
amlr,9735,0
amorf,9758,1
amrlib,9927,1
amtokenizers,9974,0
amt-tools,9982,0
amsterdam-schema-tools,9994,0
amypet,10063,0
anago,10106,1
anago-py367,10127,0
analyze,10181,0
analytics-zoo-serving,10194,1
ananke-causal,10203,0
anaximander,10257,0
analytics-zoo,10284,1
ancer-python,10330,0
andrewaudio,10349,0
anfis,10490,1
angorapy,10527,0
anilv-interpret-text,10607,0
animalai,10620,1
animal-classifier,10622,0
animalai-train,10623,1
animated-memory,10655,0
anime-face-detector,10688,1
anime-or-not,10692,0
animius,10717,1
animus,10724,1
anipose,10739,1
anki-vector,10814,0
ann,10845,1
annarchy,10853,1
anncolvar,10863,1
annif,10891,0
annlite,10893,1
annolid,10899,0
annotate,10911,0
ann-implementation-kkkumar2,10959,0
anntoolkit,10971,1
ann_visualizer,10974,1
anomalous,10990,0
anomaly-detection-framework,10995,1
anon,11005,0
anomaly-toolbox,11015,0
animal-classification,11021,0
anonymization,11035,0
anovos,11075,0
anomalib,11102,0
answer-finder,11326,0
antiberty,11515,0
antialiased-cnns,11521,1
antinex-core,11577,1
antinex-utils,11578,1
antinex-client,11583,1
antivirals,11603,0
antk,11611,1
antspynet,11664,1
anuvaad,11685,1
anvilrl,11701,0
anvil-parser,11739,0
anvil-rl,11762,0
any-fc,11785,0
any-face,11787,0
anyimage,11793,0
anymal-belief-state-encoder-decoder-pytorch,11804,1
anyrl,11843,0
aoa-pytorch,11871,1
aoaoao,11900,1
aoe-tool,11909,1
aocr,11910,1
aognet,11917,1
aorun,11984,1
aovec,12018,0
apache-mxnet,12297,1
apache-submarine,12312,1
apache-tvm,12326,1
apd-crs,12372,0
api-automation-kit,12515,0
apicultor-dev,12558,1
api-inference-community,12819,0
apkcli,12918,0
apparel-description-generator,13060,0
apl-brochu,13065,0
appdaemon,13113,0
appengine-python-standard-tbafork,13168,0
appfl,13173,0
appengine-python-standard,13195,0
app-reviews-analysis,13401,0
apprise,13452,1
apprise-transactions,13460,0
appzoo,13544,0
aprile,13555,1
apteryx,13636,0
apteryx-transformers,13641,0
aqtp,13766,0
aquila-resolve,13830,1
aquvitae,13832,1
arabicocr2englishtranslator,13854,1
arabicnlp,13858,0
arabicocr,13894,0
arboristo,13968,1
arcana,14002,0
arcface,14048,0
arcface-tensorrt,14054,1
archai,14061,1
ardiss,14347,0
area-attention,14409,1
area42,14434,0
argminer,14555,0
argos-tracker,14574,0
argostranslate,14577,1
