Id,Label,timeset,package name,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,eigencentrality,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,pageranks
27,,,0.0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147
240,,,3p0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.000147
301,,,3deecelltracker,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.000147
377,,,a2ml,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.000147
404,,,a2t,0,0,0,0,450,2,0,2,0.5,0.159258,0.029287,0,2,0,2,0.000148
486,,,aadeeplearning,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.000147
849,,,abel-pytorch,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.000147
971,,,aboleth,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.000147
1121,,,absum,0,0,0,0,450,2,0,2,0.5,0.159258,0.029287,0,2,0,2,0.000148
1132,,,abu-quant,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.000147
1215,,,accelbrainbeat,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.000147
1216,,,accel-brain-base,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.000147
1237,,,accelerate,7,0.208574,0.233856,987.083333,450,6,7,13,0.134615,0.341321,0.036384,0.004866,6,7,13,0.000173
1388,,,acd,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
1591,,,acopy,0,0,0,0,10,1,0,1,0,0.000402,0,0,1,0,1,0.00021
1737,,,actflow,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0.000147
1769,,,activations,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
1806,,,active-pre-train-ppg,0,0,0,0,2746,5,0,5,0.1,0.053629,0.0294,0,5,0,5,0.000188
1854,,,actorch,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0.000147
1907,,,adabelief-slim,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
1921,,,adabound,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
2077,,,adafruit-circuitpython-lis3mdl,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0.000147
2079,,,adafruit-circuitpython-lsm303dlh-mag,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0.000147
2080,,,adafruit-circuitpython-lsm303agr-mag,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0.000147
2081,,,adafruit-circuitpython-lsm6dsox,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0.000147
2082,,,adafruit-circuitpython-lsm6ds,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0.000147
2085,,,adafruit-circuitpython-lsm303,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0.000147
2087,,,adafruit-circuitpython-lsm303-accel,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0.000147
2089,,,adafruit-circuitpython-lis2mdl,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.000147
2092,,,adafruit-circuitpython-lsm9ds0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0.000147
2095,,,adafruit-circuitpython-lsm9ds1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0.000147
2294,,,adamod,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
2296,,,adamp,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0.000147
2311,,,adam-robotics,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
2313,,,adaptation,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0.000147
2315,,,adaptdl,3,0.416667,0.5,15,156,1,3,4,0.083333,0.000402,0.000083,0.000734,1,3,4,0.000163
2316,,,adanet,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0.000147
2319,,,adapt,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0.000147
2323,,,adaptdl-ray,0,0,0,0,156,2,0,2,0.5,0.002914,0.000019,0,2,0,2,0.000358
2328,,,adaptdl-cli,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0.000147
2330,,,adaptdl-sched,1,1,1,0,156,1,1,2,0.5,0.001129,0.000019,0.000001,1,1,2,0.000194
2346,,,adapter-transformers,0,0,0,0,450,13,0,13,0.064103,0.402804,0.035933,0,13,0,13,0.000249
2368,,,adaptor,0,0,0,0,450,5,0,5,0.25,0.22249,0.031317,0,5,0,5,0.000183
2370,,,adaptnlp,0,0,0,0,450,5,0,5,0.3,0.450015,0.031407,0,5,0,5,0.000159
2372,,,adas,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
2579,,,address-net,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0.000147
2626,,,adeptrl,0,0,0,0,2808,3,0,3,0,0.00266,0.027231,0,3,0,3,0.000218
2723,,,adjacent-attention-pytorch,0,0,0,0,788,3,0,3,0.333333,0.00266,0.027819,0,3,0,3,0.000274
2746,,,adlframework,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0.000147
2764,,,adjutant-discord,0,0,0,0,2942,1,0,1,0,0.000402,0.001164,0,1,0,1,0.000149
2768,,,adlstream,0,0,0,0,2712,2,0,2,0.5,0.076929,0.00483,0,2,0,2,0.00015
2835,,,adn-torch,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
2860,,,adorad,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0.000147
2868,,,adonisai,0,0,0,0,450,5,0,5,0.05,0.169083,0.030244,0,5,0,5,0.000402
2988,,,advancedanalytics,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0.000147
3046,,,advbox,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0.000147
3072,,,adversarials,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0.000147
3079,,,advertorch,1,1,1,0,450,0,1,1,0,0,0,0.000837,0,1,1,0.000147
3088,,,adversarial-vision-challenge,0,0,0,0,2709,1,0,1,0,0.001129,0.000021,0,1,0,1,0.000228
3392,,,aestream,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0.000147
3421,,,aetros,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0.000147
3608,,,af-res-model-manager,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0.000147
3626,,,aft-pt,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
3631,,,aft-pytorch,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
3645,,,afterrealism,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0.000147
3756,,,agents,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0.000147
3765,,,agent-smith,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
3905,,,aglioolio,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0.000147
3934,,,agnes,0,0,0,0,2690,2,0,2,0,0.001531,0.027209,0,2,0,2,0.000148
3935,,,agoge,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0.000147
4105,,,ahelper,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0.000147
4118,,,ai,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0.000147
4149,,,ai2-tango,0,0,0,0,450,7,0,7,0.261905,0.545073,0.036957,0,7,0,7,0.000161
4158,,,ai4water,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0.000147
4163,,,ai-benchmark,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0.000147
4174,,,aicademecv,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0.000147
4192,,,aichatbot,0,0,0,0,2690,3,0,3,0.333333,0.034762,0.00699,0,3,0,3,0.000153
4200,,,aicoe-donkeycar,0,0,0,0,2121,3,0,3,0,0.034762,0.005487,0,3,0,3,0.000155
4204,,,aicore,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0.000147
4206,,,ai6,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0.000147
4305,,,aiei,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0.000147
4310,,,ai-economist,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0.000147
4325,,,aif360,0,0,0,0,2712,1,0,1,0,0.033231,0.004573,0,1,0,1,0.000148
4353,,,aifs-nni,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0.000147
4376,,,aihwkit,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
4385,,,ai-harness,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0.000147
4418,,,aiida-phonopy,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0.000147
4446,,,aiinpy,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0.000147
4503,,,aimage,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0.000147
4514,,,aim-cli,0,0,0,0,2690,1,0,1,0,0.001129,0.002238,0,1,0,1,0.000148
4520,,,aimd,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0.000147
