ID,Package Name
27,0.0.1
240,3p0
301,3deecelltracker
377,a2ml
404,a2t
486,aadeeplearning
849,abel-pytorch
971,aboleth
1121,absum
1132,abu-quant
1215,accelbrainbeat
1216,accel-brain-base
1237,accelerate
1388,acd
1591,acopy
1737,actflow
1769,activations
1806,active-pre-train-ppg
1854,actorch
1907,adabelief-slim
1921,adabound
2077,adafruit-circuitpython-lis3mdl
2079,adafruit-circuitpython-lsm303dlh-mag
2080,adafruit-circuitpython-lsm303agr-mag
2081,adafruit-circuitpython-lsm6dsox
2082,adafruit-circuitpython-lsm6ds
2085,adafruit-circuitpython-lsm303
2087,adafruit-circuitpython-lsm303-accel
2089,adafruit-circuitpython-lis2mdl
2092,adafruit-circuitpython-lsm9ds0
2095,adafruit-circuitpython-lsm9ds1
2294,adamod
2296,adamp
2311,adam-robotics
2313,adaptation
2315,adaptdl
2316,adanet
2319,adapt
2323,adaptdl-ray
2328,adaptdl-cli
2330,adaptdl-sched
2346,adapter-transformers
2368,adaptor
2370,adaptnlp
2372,adas
2579,address-net
2626,adeptrl
2723,adjacent-attention-pytorch
2746,adlframework
2764,adjutant-discord
2768,adlstream
2835,adn-torch
2860,adorad
2868,adonisai
2988,advancedanalytics
3046,advbox
3072,adversarials
3079,advertorch
3088,adversarial-vision-challenge
3392,aestream
3421,aetros
3608,af-res-model-manager
3626,aft-pt
3631,aft-pytorch
3645,afterrealism
3756,agents
3765,agent-smith
3905,aglioolio
3934,agnes
3935,agoge
4105,ahelper
4118,ai
4149,ai2-tango
4158,ai4water
4163,ai-benchmark
4174,aicademecv
4192,aichatbot
4200,aicoe-donkeycar
4204,aicore
4206,ai6
4305,aiei
4310,ai-economist
4325,aif360
4353,aifs-nni
4376,aihwkit
4385,ai-harness
4418,aiida-phonopy
4446,aiinpy
4503,aimage
4514,aim-cli
4520,aimd
4537,aimfast
4588,ainshamsflow
4785,aiocv
5475,aiopslibs
5483,aiopslibscancer
5534,ai-ops-libs
5943,aiplatgo
6022,airelle
6237,airsim
6332,ai-serving-client
6340,ai-serving-server
6354,aisy-database
6356,aisy-sca
6385,aitk.keras
6396,aitk
6406,ai-traineree
6408,aitoolbox
6412,ai-transformersx
6464,aix360
6660,akid
6770,alaas
6911,albumentations
6922,alchemy
6924,alchemy-catalyst
7137,aletheia-dnn
7176,alexnet-pytorch
7237,alfred-py
7243,alfred-collection
7266,algernon
7453,alias-free-torch
7464,algo-wars
7904,alibabacloud-ros-tran
8595,alkanet-picard
8642,allenact
8651,allennlp-semparse
8654,allennlp
8662,allennlp-shiba
8667,allenact-plugins
8668,allennlp-server
8686,allennlp-models
8692,allennlp-pvt-nightly
8752,allosaurus
8770,allrank
8778,allrank-mod
8876,alns
8885,alnlp
8934,alpa
9004,alphafold2-pytorch
9018,alphanet
9023,alphapose
9040,alphapy
9053,alpharotate
9206,altify
9258,alvadescpy
9282,am2
9758,amorf
9927,amrlib
10106,anago
10194,analytics-zoo-serving
10284,analytics-zoo
10490,anfis
10620,animalai
10623,animalai-train
10688,anime-face-detector
10717,animius
10724,animus
10739,anipose
10845,ann
10853,annarchy
10863,anncolvar
10893,annlite
10971,anntoolkit
10974,ann_visualizer
10995,anomaly-detection-framework
11521,antialiased-cnns
11577,antinex-core
11578,antinex-utils
11583,antinex-client
11611,antk
11664,antspynet
11685,anuvaad
11804,anymal-belief-state-encoder-decoder-pytorch
11871,aoa-pytorch
11900,aoaoao
11909,aoe-tool
11910,aocr
11917,aognet
11984,aorun
12297,apache-mxnet
12312,apache-submarine
12326,apache-tvm
12558,apicultor-dev
13452,apprise
13555,aprile
13830,aquila-resolve
13832,aquvitae
13854,arabicocr2englishtranslator
13968,arboristo
14054,arcface-tensorrt
14061,archai
14409,area-attention
14577,argostranslate
14993,arm-mango
15401,artificial-detection
15403,artificial-neural-network
15405,artificial-artwork
15413,artificial-neural-network-model-automation
15560,arxiv-post
15637,as-a-service
15799,asdeep
15985,ashpy
16054,askflow
16171,aspect-based-sentiment-analysis
16293,asreview
16305,asrt
16550,asteroid-filterbanks
16555,asteroid
16599,astrape
16640,astrodash
16692,astromer
16718,astronn
16766,astrorapid
17620,atflow
17728,atlalign
17906,atomai
18112,attacut
18119,attention-tensorflow-mesh
18142,attn-gan-pytorch
18181,attributionpriors
18299,audio-augmentations
18308,audio2text
18324,audiodl
18362,audioloader
18366,audiomentations
18395,audioowl
18439,audio-evaluator
18458,audlib
18486,audtorch
18494,auger-cli
18505,auger.ai.predict
18509,augmented-pca
18510,auger.ai
18511,augmently
18522,augraphy
18524,audioset-downloader
18533,augmentor
18574,auraloss
18578,auptimizer
18598,aunnl
18825,autism_treatment_assistance
18862,autoalbument
18894,autobert
18920,autobotlib
18956,autochord
18976,auto-cnn
19021,autocrosswalk
19033,auto-cv
19096,autodl-gpu
19154,auto-feature-extraction
19189,autogan
19207,autogluon.common
19208,autogluon.features
19209,autogluon
19213,autogluon.tabular
19215,autogluon.mxnet
19218,autogluon.extra
19220,autogluon.core
19221,autograd
19224,autogluon.text
19246,autograd-latest
19250,autogluon.vision
19319,autokeras
19453,automatic-speech-recognition
19510,auto_ml
19512,automl
19519,automl-alex
19521,automl_gs
19540,automlpy
19546,automl-utils
19585,autonlp
19589,autonomous-learning-library
19592,auto-od
19597,auton-survival
19678,autopytorch
19700,autorecsys
19701,autoray
19845,autotab
19863,autotabular
19880,auto-tensorflow
19914,autots
19953,autovideo
19954,autovul
20233,avalanche-lib
20387,awave
20415,awesome-autodl
20456,awgan
21782,axial-positional-embedding
21787,axial-attention
21829,axondeepseg
21833,axonn
21941,aydin
21950,ayolo
22711,baal
22832,back
22884,backgroundremover
22956,backprop
23099,badai
23116,badchars
23223,bagua-cuda102
23225,bagua
23228,bagua-cuda111
23234,bagua-cuda115
23240,bagua-cuda113
23318,baikalnlpy
23701,bamler
23730,banditml
23758,banet
23924,barbar
23988,baredl
23994,bareml
24036,bark-simulator
24064,barrage
24326,basenet
24327,basetrainer
24374,basicai
24382,basicanalysis
24431,basicdeeplearningframework
24455,basic-image-eda
24501,basicprop
24521,basicsr
24563,basis
24636,batchbald-redux
24647,batch-face
24661,batchgenerators
24686,batch-ppo
24716,bat-country
24736,batorch
24790,batukh
24881,bayesian-torch
25192,bc-count
25438,bdl-benchmarks
25737,beanmachine
25773,beatnet
25974,beefly
26154,beir
26200,bellman
26270,benchmark-for-transformers
26279,benchformer
26314,bendeep
26323,benderthon
26405,bentoctl
26407,bentoml
26447,bergamot
26494,berrynet
26498,bert2tf
26501,berenet
26517,bert-embedding
26518,bert4tf
26524,bert-experimental
26525,bert-for-sequence-classification
26529,bert-base
26532,bert-for-tf2-mod
26533,bert-extractive-summarizer
26535,bertlibrary
26539,bert-multitask-server
26540,bert-for-tf2
26541,bert-multitask-learning
26542,bert-pytorch
26543,bertopic
26550,bert-seq2seq-ddp
26551,bert-seq2seq
26555,bert-service
26557,bert-serving
26559,bert-serving-client
26565,bert-serving-multilingual-server
26566,bert-serving-multilingual-client
26569,bert-serving-server
26571,bert-tensorflow
26572,bert-text-summarizer
26573,bertsimilarity
26581,bertviz
26624,bert-mrc-predict
26661,bert-mrc
26663,bert-multitask-client
26664,bert-score
26666,beta-divergence-metrics
26669,betago
26699,beta-rec
26785,betterloader
26899,beyondpapers
27351,bidirectional-cross-attention
27355,bidaf-keras
27484,bigdl-math
27489,bigdl-friesian
27490,bigdl-friesian-spark3
27492,bigdl-core
27494,bigdl-dllib-spark3
27496,bigdl-orca
27497,bigdl-dllib
27498,bigdl-dllib-spark2
27499,bigdl-spark2
27500,bigdl-friesian-spark2
27501,bigdl-nano
27504,bigdl-orca-spark2
27505,bigdl-orca-spark3
27508,bigdl-serving
27514,bigdl-chronos-spark2
27515,bigdl-tf
27524,bigdl-chronos
27526,bigdl-chronos-spark3
27537,bigdl-spark3
27544,bigdl
27641,big-sleep
27831,bi-lstm-crf
27847,bimvee
28034,bindsnet
28073,bing-images
28381,biobert-pytorch
28397,bio-embeddings-allennlp
28413,bio-embeddings-tape-proteins
28437,bioimageio.core
28571,biopy
28676,biotorch
29207,bitorchinfo
29359,bittensor
29562,blackhc.laaos
29733,blather
29843,blenderneuron
29963,blis
29995,blitz-bayesian-pytorch
30036,blobconverter
30048,blobrl
30069,block
30072,block.bootstrap.pytorch
30191,blobcity
30358,blokus-gym
30443,bluefog
30459,bluegramm
30465,bluenet
30513,bluesearch
30750,bmtk
30835,bnltk
30837,bnn
30860,bntransformer
31054,bob.ip.pytorch-extractor
31059,bntranslit
31060,bob.learn.pytorch
31072,bob.learn.tensorflow
31260,boiler-plate-pytorch
31328,boilr
31400,boml
31460,bonltk
31604,boolean-question
31666,booster-pytorch
31692,bootcamp
31698,boolean-solver
31758,bootstrap.pytorch
31827,bore
32146,botorch
32263,bottleneck-transformer-pytorch
32267,bottleneck-transformer-flax
32500,box-embeddings
32529,boxsers
32536,boxx
32634,bpmodels
32646,bpnet
32675,bp-storage
32690,bpycv
32705,bqapi-ucsb
32792,bprune
32823,braid
32860,braindynamics
32906,brainml
32907,brainnet
32909,brainmodels
32923,brain-py
32927,brainpy
32928,brainpylib
32934,brainpy-simulator
32935,braindecode
32941,brainless
33096,brc
33113,breaching
33133,breakhis-gradcam
33219,brc-pytorch
33238,brewgorithm
33253,brevitas
33256,brian2genn
33260,brian2
33407,bristol
33798,bsconv
33856,bsoid
34250,budgetml
34462,building-footprint-segmentation
34466,building-neural-network
34488,building-inspection-toolkit
34622,built
34696,bumblebee-status
35222,bxtorch
35244,bycycle
35289,byol-pytorch
35368,byterec
35392,byteps
35922,cadl
35930,cadrec
35933,cad-recognition
35946,cae
35954,caer-models
35959,caer
35985,caffe2onnx
36015,caicloud.tensorflow
36163,calc4ap
36580,camael
36727,camphr
36815,canaro
37075,canton
37105,cape-client
37258,captum
37456,carefree-learn
37481,cargan
37520,carla-recourse
37523,carla
37529,carla-unofficial
37567,carpedm
37585,carla-client-unofficial
37643,carry
37953,cassava-classifier
37960,cascade-ml
38049,catalearn
38079,catalyst-rl
38083,catalyst
38130,categorical-encode
38149,catenets
38440,causing
38452,caver
38654,cca-zoo
38868,ccsmeth
38896,cctv-learning
39492,ceevee
39510,cdst
39548,celeb-detector
39728,cell-blast
39743,celldetection
39760,cellfinder-core
39762,cellfinder-napari
39778,cellfinder
39813,cellseg
39820,cell-tools
39843,cellvgae
39881,cen
39889,cengine
40037,cerbo
40061,cerebro-ml
40068,cerebrum
40404,cfai
40850,cgds
40897,cgm-ml-common
40900,cf-step
40954,cgvsphoto
41049,chainercmd
41059,chainer-cyclegan
41065,chainer-mask-rcnn
41066,chainercv2
41067,chainer_sklearn
41290,change-detection-pytorch
41322,changeos
41536,char-classifer
41554,charformer-pytorch
41577,chariot
41652,charrnn
41744,chatbotverse
41758,chatbotpackage
41798,chatspace
41826,chattingtransformer
41916,chclassifier
42057,check-orientation
42273,chemexp
42287,chemicalx
42317,chemml
42329,chemmltoolkit
42386,chemprop
42405,cherche
42438,cherry-rl
42466,chess-cheat
42482,chess-classification
42503,chesspos
42630,chicksexer
42758,chinesener
42760,china
42771,chinesebert
42849,chiron
42943,chmp
42966,choicenet
43096,chreader
43730,ciphey
44424,ckpt2tfserving
44472,claf
44661,classicml-lite
44663,classicml
44681,classification-report
44686,classification-models-3d
44700,classification-models-1d
44704,classicalgsg
44716,classicml-python
44731,classla
44732,classomfier
44760,class-resolver
44764,classitransformers
44789,classy-classification
44798,classy-vision
44850,classy-core
44934,clean-fid
45015,clearml-agent
45050,clearml-session
45055,clearml-darknet-py
45057,clearml-serving
45122,clevr-parser
45153,clearml
45287,cl-gym
45629,clinicadl
45684,clipcap
45693,clipcrop
45695,clip-client
45728,clip-retrieval
45734,clip-as-service
45744,clip-server
45867,clloader-arthurdouillard
45876,clloader
46201,cloudconnect
46425,cloudml-hackathon-tensorboard
46435,cloudmlmagic
46687,cloud-tpu-client
46692,cloud-tpu-profiler
46699,cloud-training
46999,cl-simulator
47031,clustertransformer
47102,cma-es
47401,cmgp
47439,cmne
47445,cmorlet-tensorflow
47795,cnn-complexity-analyzer
47797,cne-learn
47798,cnnfacerecognition
47802,cnn-finetune
47806,cnnum
47808,cnn4ie
47810,cnnutils
47813,cnn-raccoon
47815,cnn-blocks
47869,cntk-gpu
47871,cnlp
47877,cntkx
47881,cntk
47970,coach-ml
48094,coca-pytorch
48119,cockpit-for-pytorch
48135,cocodataset
48164,coco-lm-pytorch
48228,coconet-binning
48284,code2seq
48676,codext
48829,cogdl
48847,cogitare
48855,cognify
48868,cognite
48903,coffeeshop
49183,colab-zirc-dims
49248,coldbrew
49307,colearn
49867,collective.groupspace.mail
49868,collective.groupspace.roles
49877,collective.groupspace.content
49890,collective.groupspace.workflow
50722,collective.zoomit
50771,collie-recs
50784,collie
51035,color-space-converter
51044,colors-print
51238,colvars-finder
51293,comcrawl
51300,combustion
51677,commontoolsaiopslibs
51734,communitynet
51756,compact-distillation
51759,compact-consistencyreg
51984,complexcnn
52004,complexpytorch
52008,complexnetwork
52110,compositional-attention
52113,compositional-attention-pytorch
52150,compressai
52178,compressive-transformer-pytorch
52286,comvex
52406,concrete-autoencoder
52410,concise
52502,condensa
52503,condense
52614,conduit
53003,conformer-tf
53026,conformer
53040,confugue
53190,connect-n
53335,consnet
53396,conssl
53715,contextualized-topic-models
53726,contiguous-params
53765,continuation-jax
53774,continuum
53807,continnum
53818,continual-inference
53829,contrastive-learner
53915,conveiro
53928,conversational-sentence-encoder
53938,conversion-onnx
53940,conversiononnx
53941,conversionwangyp
54013,convert-labse-tf-pt
54046,conviz
54063,convmodel
54123,conx
54139,convolution-kernels
54154,coocop
54276,coolsms_python_sdk
54377,coords-transformer
54386,coperception
54472,copynet-tf
54504,coqui-trainer
54505,coqui-stt-training
54520,coral-pytorch
54524,coral-ordinal
54559,coreai
54562,cords
54654,coremltools
54747,corider
55145,cost2fitness
55183,cotk
55242,cosmic-conn
55254,couler
55274,cosmopower
55483,courthouse
55664,covidxai
55750,cox-nnet
55916,cplxmodule
56312,crafter
56317,craft-hw-ocr
56346,craft-text-detector
56358,cral
56844,crepe
56957,crispr-cas9
57023,critical-path
57183,cropimage
57208,crossai
57256,crossedwires
57289,cross-transformers-pytorch
57400,crslab
57699,cryptogym
57838,crysnet
57915,crysx-nn
58152,csfunctions
58372,csrank
58854,ctcdecode
58981,ctnas
59054,ctranslate2
59057,ctrl4ai
59079,ctrnn
59093,ctu
59157,ctr-acn
59396,cub-tools
59412,cuda-checker
59436,cudra
59458,cudnn-python-wrappers
59477,cukuramoto
59805,curvfaiss
59859,customdnn
59901,custom-glue
59976,customyolov4
60025,cutkum
60084,cvae
60114,cvbinarycanceraiopslibs
60136,cvdl
60188,cvmodels
60189,cvlib
60199,cvopt
60209,cvpm
60210,cvnn
60218,cvpubsubs
60279,cv_utils
60416,cwtlayerkeras
60547,cxflow-tensorflow
60598,cyclemoid-pytorch
60612,cycliclr
60943,cytounet
60966,cyzil
60985,cytoself
61056,d2l
61065,d2ltorch
61088,d3d
61119,d3m-segmentation-models-pytorch
61167,d8s-hashes
61181,da
61195,d3rlpy
61392,dagen
61430,dagshub
61548,dak
61573,daism
61595,dalle2-pytorch
61601,dalle-pytorch-dev
61640,dalib
61645,dali-dataset
61653,dalle-pytorch
61691,daluke
61741,dandelion
61880,dapipe
61930,daps
61985,dareblopy
61993,darkai
62028,darknet-config-generator
62032,darkneurons
62051,darkon
62065,darmo
62088,d-arth
62098,darts
62107,da-rnn
62491,dask-pytorch
62496,dask-pytorch-ddp
62593,databalancer
62725,datacards
63085,dataframe-logger
63097,data-function
63146,datagun
63674,data-science-bowl-2019
63736,datasetops
63740,datasetinsights
63749,datasets
63895,dataset-xy
63980,datasouls-antispoof
64052,datatile
64078,data-transformer
64097,datatorch
64115,datatap
64418,datum
64426,datumaro
64449,datmo
64517,dawnet
64682,dbcollection
64768,dbgnnet
64844,dblue-mlwatch
64969,dbrecord
65214,dcase-models
65226,dcborow-mmlspark
65274,dcgan-pytorch
65341,dcnv2
65437,dcss
65451,dcwis
65538,ddddsr
65653,ddpg
65658,ddpg-tf
65669,ddpm-proteins
65719,ddu-dirty-mnist
65812,deatf
65872,deberta
65882,debobo
65944,debugui
65980,decavision
66024,decimer
66031,decimer-segmentation
66117,decile-distil
66217,decompose
66274,decuen
66298,decofre
66346,deep4dream
66350,deepac
66352,deepaccess
66353,deepacvir
66354,deel-lip
66366,deep-animator
66367,deepaclive
66369,deepacstrain
66372,deepasr
66378,deepautoencoder
66383,deepayan
66386,deepbay
66387,deep-autoviml
66390,deepbiome_scripts
66391,deepblocks
66392,deepbgc
66393,deepagi_cli_test
66394,deepaas
66395,deepblink
66399,deepbrainseg
66400,deepbrain
66401,deep-blue-talks
66404,deepcad
66408,deepcell
66410,deepcell-cpu
66411,deepcell-retinamask
66432,deepcheck
66434,deepchecks
66438,deepcinac
66440,deepchem
66441,deep-collection
66445,deepclassifier
66446,deepclustering
66447,deepclas4bio
66452,deep-confusables
66453,deepcomparer
66454,deepcoord
66467,deep-crf
66470,deepctrl-scrapy-redis
66471,deepctr
66472,deepcore-server
66473,deepdata_alpha
66474,deepcpg
66476,deepctr-torch
66477,deep-b-spline-approximation
66478,deepconsensus
66485,deepdanbooru-onnx
66490,deepchem-nightly
66494,deepdish
66495,deep-disfluency
66496,deepdiff
66499,deepdoctection
66501,deepcs
