Id,Label,timeset,package name,class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,eigencentrality,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,pageranks
27,,,0.0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000075
91,,,125softnlp,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
213,,,3d-connectx-env,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
240,,,3p0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.000075
257,,,4996,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
301,,,3deecelltracker,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.000075
377,,,a2ml,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.000075
404,,,a2t,1,0,0,0,0,2948,2,0,2,0.5,0.159258,0.018522,0,2,0,2,0.000075
432,,,a5dev,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
449,,,a3t,0,0,0,0,0,2626,3,0,3,0.166667,0.098492,0.019632,0,3,0,3,0.000076
461,,,aaapi,0,0,0,0,0,2626,1,0,1,0,0.000402,0.000005,0,1,0,1,0.000088
486,,,aadeeplearning,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.000075
574,,,aad2onnx,0,0,0,0,0,2623,1,0,1,0,0.000402,0.000343,0,1,0,1,0.000075
645,,,aautt,0,0,0,0,0,71,2,0,2,0,0.000803,0.016126,0,2,0,2,0.000075
733,,,abcgan,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
783,,,abdelrahman-obfuscate,0,0,0,0,0,2626,8,0,8,0.089286,0.329263,0.009023,0,8,0,8,0.000078
795,,,abdo,0,0,0,0,0,2626,8,0,8,0.089286,0.329263,0.009023,0,8,0,8,0.000078
806,,,abeja-sdk,0,0,0,0,0,2612,1,0,1,0,0.000402,0.000467,0,1,0,1,0.000075
810,,,abdo-obfuscate,0,0,0,0,0,2626,8,0,8,0.089286,0.329263,0.009023,0,8,0,8,0.000078
849,,,abel-pytorch,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.000075
892,,,abdoconvo,0,0,0,0,0,2626,8,0,8,0.089286,0.329263,0.009023,0,8,0,8,0.000078
925,,,ablooper,0,0,0,0,0,2853,2,0,2,0,0.000803,0.016351,0,2,0,2,0.000075
936,,,abmarl,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
971,,,aboleth,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.000075
997,,,ablang,0,0,0,0,0,2948,2,0,2,0.5,0.001531,0.015594,0,2,0,2,0.000078
1006,,,abraham3k,0,0,0,0,0,2948,1,0,1,0,0.110614,0.000123,0,1,0,1,0.000077
1078,,,abstcal,0,0,0,0,0,2991,1,0,1,0,0.000402,0.000137,0,1,0,1,0.000075
1084,,,abstractmlbasemodeltask,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
1121,,,absum,1,0,0,0,0,2948,2,0,2,0.5,0.159258,0.018522,0,2,0,2,0.000075
1132,,,abu-quant,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.000075
1215,,,accelbrainbeat,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.000075
1216,,,accel-brain-base,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.000075
1237,,,accelerate,1,7,0.202988,0.221325,1792.033333,71,6,12,18,0.098039,0.341321,0.023823,0.003135,6,12,18,0.000078
1263,,,accern-xyme,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
1314,,,acclimatise,0,0,0,0,0,2422,1,0,1,0,0.009021,0.000874,0,1,0,1,0.000075
1355,,,accuinsight,0,0,0,0,0,2624,2,0,2,0.5,0.033633,0.004952,0,2,0,2,0.000075
1368,,,accuracy,0,0,0,0,0,2422,1,0,1,0,0.009021,0.000874,0,1,0,1,0.000075
1370,,,acdc-nn,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
1388,,,acd,1,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
1397,,,acdh-spacytei,0,0,0,0,0,2422,2,0,2,0,0.009423,0.001411,0,2,0,2,0.000075
1531,,,aclimatise,0,0,0,0,0,2422,1,0,1,0,0.009021,0.000874,0,1,0,1,0.000075
1591,,,acopy,1,1,1,1,0,1284,1,1,2,0.5,0.000402,0,0,1,1,2,0.000084
