Id,Label,timeset,package name,class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,eigencentrality,pageranks
27,,,0.0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000077
91,,,125softnlp,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.006429,0,0.058824,0.000077
213,,,3d-connectx-env,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
240,,,3p0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.000077
257,,,4996,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
301,,,3deecelltracker,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.000077
377,,,a2ml,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.000077
404,,,a2t,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.000077
432,,,a5dev,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
449,,,a3t,0,0,0,0,0,4654,3,0,3,0,3,0,3,0.026104,0,0.176471,0.000079
461,,,aaapi,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.000006,0,0.058824,0.000099
486,,,aadeeplearning,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.000077
574,,,aad2onnx,0,0,0,0,0,4779,1,0,1,0,1,0,1,0.000434,0,0.058824,0.000078
645,,,aautt,0,0,0,0,0,3874,2,0,2,0,2,0,2,0.020064,0,0.117647,0.000078
733,,,abcgan,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
783,,,abdelrahman-obfuscate,0,0,0,0,0,4699,8,0,8,0,8,0,8,0.014103,0,0.470588,0.000082
795,,,abdo,0,0,0,0,0,4699,8,0,8,0,8,0,8,0.014103,0,0.470588,0.000082
806,,,abeja-sdk,0,0,0,0,0,4626,1,0,1,0,1,0,1,0.00045,0,0.058824,0.000078
810,,,abdo-obfuscate,0,0,0,0,0,4699,8,0,8,0,8,0,8,0.014103,0,0.470588,0.000082
849,,,abel-pytorch,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.000077
892,,,abdoconvo,0,0,0,0,0,4699,8,0,8,0,8,0,8,0.014103,0,0.470588,0.000082
925,,,ablooper,0,0,0,0,0,4993,2,0,2,0,2,0,2,0.019748,0,0.117647,0.000078
936,,,abmarl,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.006429,0,0.058824,0.000077
971,,,aboleth,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.000077
997,,,ablang,0,0,0,0,0,4271,2,0,2,0,2,0,2,0.019453,0,0.117647,0.000084
1006,,,abraham3k,0,0,0,0,0,4271,1,0,1,0,1,0,1,0.000237,0,0.058824,0.000079
1078,,,abstcal,0,0,0,0,0,4509,1,0,1,0,1,0,1,0.000198,0,0.058824,0.000077
1084,,,abstractmlbasemodeltask,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.006429,0,0.058824,0.000077
1121,,,absum,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.000077
1132,,,abu-quant,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.000077
1215,,,accelbrainbeat,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.000077
1216,,,accel-brain-base,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0.000077
1237,,,accelerate,1,1,1,1,0,4271,0,5,5,0,0,5,5,0,0.001989,0,0.000077
1263,,,accern-xyme,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
1314,,,acclimatise,0,0,0,0,0,1675,1,0,1,0,1,0,1,0.001488,0,0.058824,0.000077
1355,,,accuinsight,0,0,0,0,0,4654,2,0,2,0,2,0,2,0.00822,0,0.117647,0.000077
1368,,,accuracy,0,0,0,0,0,1675,1,0,1,0,1,0,1,0.001488,0,0.058824,0.000077
1370,,,acdc-nn,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.006429,0,0.058824,0.000077
1388,,,acd,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0.000077
1397,,,acdh-spacytei,0,0,0,0,0,1675,2,0,2,0,2,0,2,0.002352,0,0.117647,0.000077
1531,,,aclimatise,0,0,0,0,0,1675,1,0,1,0,1,0,1,0.001488,0,0.058824,0.000077
1591,,,acopy,1,1,1,1,0,2178,0,1,1,0,0,1,1,0,0,0,0.000077
1675,,,acryl-datahub-airflow-plugin,0,0,0,0,0,2097,1,0,1,0,1,0,1,0.000024,0,0.058824,0.000077
1679,,,acryl-datahub-actions,0,0,0,0,0,2097,1,0,1,0,1,0,1,0.000024,0,0.058824,0.000077
1684,,,acsni,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.006429,0,0.058824,0.000077
1690,,,acryl-datahub,0,0,0,0,0,2097,1,0,1,0,1,0,1,0.000024,0,0.058824,0.000077
1722,,,actico-ml,0,0,0,0,0,1811,1,0,1,0,1,0,1,0.000002,0,0.058824,0.000085
1737,,,actflow,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0.000077
1769,,,activations,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0.000077
1789,,,active-learning-img-augmentation-utils,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
1806,,,active-pre-train-ppg,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0.000077
1854,,,actorch,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0.000077
1892,,,acuitylite,0,0,0,0,0,4779,2,0,2,0,2,0,2,0.006863,0,0.117647,0.000078
1907,,,adabelief-slim,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0.000077
1909,,,acv-exp,0,0,0,0,0,4509,1,0,1,0,1,0,1,0.000198,0,0.058824,0.000077
1915,,,adabelief-pytorch,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
1916,,,acv-dev,0,0,0,0,0,4509,1,0,1,0,1,0,1,0.000198,0,0.058824,0.000077
1921,,,adabound,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0.000077
1926,,,adafmnoisereducer,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
1932,,,adafdr,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
1933,,,adabelief-tf,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.006429,0,0.058824,0.000077
2017,,,actspotter,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.006429,0,0.058824,0.000077
2077,,,adafruit-circuitpython-lis3mdl,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0.000077
2079,,,adafruit-circuitpython-lsm303dlh-mag,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.000077
2080,,,adafruit-circuitpython-lsm303agr-mag,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0.000077
2081,,,adafruit-circuitpython-lsm6dsox,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0.000077
2082,,,adafruit-circuitpython-lsm6ds,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0.000077
2085,,,adafruit-circuitpython-lsm303,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0.000077
2087,,,adafruit-circuitpython-lsm303-accel,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0.000077
2089,,,adafruit-circuitpython-lis2mdl,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0.000077
2092,,,adafruit-circuitpython-lsm9ds0,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0.000077
2095,,,adafruit-circuitpython-lsm9ds1,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0.000077
2294,,,adamod,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0.000077
2296,,,adamp,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0.000077
2311,,,adam-robotics,1,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0.000077
2313,,,adaptation,1,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0.000077
2315,,,adaptdl,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0.000077
2316,,,adanet,1,1,1,1,0,4654,0,1,1,0,0,1,1,0,0.000006,0,0.000077
2319,,,adapt,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0.000077
2323,,,adaptdl-ray,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0.000077
2325,,,adaptdl-modified-pandyaka,0,0,0,0,0,236,1,0,1,0,1,0,1,0.000058,0,0.058824,0.000078
2328,,,adaptdl-cli,1,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0.000077
2330,,,adaptdl-sched,1,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0.000077
2332,,,adapted-nerda,0,0,0,0,0,4271,2,0,2,0,2,0,2,0.023472,0,0.117647,0.000077
2333,,,adapt-diagnostics,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.006429,0,0.058824,0.000077
2346,,,adapter-transformers,1,1,1,1,0,4993,0,4,4,0,0,4,4,0,0.001236,0,0.000077
