Source,Target
330594,91
339622,213
339622,257
339622,432
330594,449
330603,449
339622,449
56844,461
221727,574
339622,645
357340,645
339622,733
314121,783
330594,783
330544,783
330588,783
330613,783
330638,783
330680,783
342003,783
314121,795
330594,795
330544,795
330588,795
330613,795
330638,795
330680,795
342003,795
330531,806
314121,810
330594,810
330544,810
330588,810
330613,810
330638,810
330680,810
342003,810
314121,892
330594,892
330544,892
330588,892
330613,892
330638,892
330680,892
342003,892
97286,925
339622,925
330594,936
105956,997
339622,997
111718,1006
322047,1078
330594,1084
339622,1263
314121,1314
158188,1355
330594,1355
314121,1368
330594,1370
123058,1397
314121,1397
314121,1531
66496,1675
66496,1679
330594,1684
66496,1690
133060,1722
339622,1789
221727,1892
330594,1892
322047,1909
339622,1915
322047,1916
339622,1926
339622,1932
330594,1933
330594,2017
19221,2325
339622,2332
342003,2332
330594,2333
69182,2413
339622,2413
158188,2762
339622,2805
158188,2873
330594,2873
123058,2935
314121,2962
158188,3066
330594,3066
96983,3067
339622,3067
158188,3075
330594,3075
339622,3081
158188,3097
161106,3097
330594,3097
330544,3097
330621,3097
339622,3097
339629,3097
158188,3197
330594,3197
158188,3309
330594,3362
330504,3405
330594,3405
339622,3512
205534,3524
153147,3594
314121,3594
330594,3614
339622,3614
158188,3661
330594,3661
339622,3698
227700,3747
339622,3752
158188,3867
330594,3867
330594,3878
339622,3878
158188,3971
330594,3971
228526,4131
228526,4133
339622,4136
322047,4161
206384,4171
221727,4193
221744,4193
339622,4193
342003,4193
339622,4223
309299,4252
339622,4252
330594,4253
330638,4253
19221,4278
158188,4279
330594,4279
330638,4279
158188,4285
330594,4285
333465,4285
330594,4294
339622,4328
123058,4335
330594,4337
339622,4349
339622,4351
158188,4363
330594,4363
66496,4378
158188,4422
330594,4422
339622,4463
339622,4530
339948,4530
158184,4542
221727,4542
330594,4542
333263,4542
339622,4542
314121,4545
158184,4756
221727,4756
330594,4756
333263,4756
339622,4756
118062,5110
118062,5112
118062,5117
118062,5603
330594,5741
118062,5764
330594,5918
330504,5930
339622,5930
158188,5944
330594,5944
339622,5944
339885,5944
29963,5953
106696,5953
140433,5953
333768,6016
333768,6017
66496,6031
283564,6111
283564,6124
330504,6181
330594,6181
330603,6181
330504,6183
330594,6183
339622,6341
330594,6346
147157,6348
228526,6348
140433,6352
330594,6352
330594,6368
275883,6373
339622,6373
342003,6373
314121,6375
302234,6377
339622,6377
342003,6377
158188,6397
330594,6397
330594,6401
330504,6405
302234,6407
339622,6407
342003,6407
330594,6421
228526,6433
330594,6444
330594,6445
333598,6468
330594,6470
330544,6470
339622,6470
8654,6691
339622,6788
13452,6823
339622,6829
6911,6890
275883,6950
178992,7103
129479,7204
339622,7204
330594,7222
330531,7250
338047,7250
339622,7250
342003,7250
339622,7286
339622,7299
206384,7352
339622,7428
283564,8048
330594,8048
339622,8048
342003,8048
330594,8056
330638,8056
339622,8056
342003,8056
123058,8139
69182,8173
151110,8173
275852,8173
339622,8173
330594,8189
339622,8189
339622,8228
314121,8632
6911,8648
8654,8648
339622,8648
8654,8649
322047,8653
342003,8653
8654,8655
8654,8659
8654,8664
8654,8671
8654,8679
288812,8687
288812,8697
330594,8809
158188,8925
330594,8925
339622,8939
339622,8980
97286,8984
339622,8984
87712,8991
330594,8991
330504,8994
330594,8994
330588,8994
333636,8994
339622,8994
87712,8997
330556,8997
158188,9009
330594,9009
87712,9010
330556,9010
322047,9027
339622,9081
232821,9091
158188,9165
330504,9165
330594,9165
330588,9165
94919,9180
339622,9180
314121,9182
330594,9203
158188,9214
339622,9223
330594,9274
321918,9385
232637,9397
330594,9397
339622,9397
158188,9486
330594,9486
158188,9559
330594,9559
283564,9610
123058,9702
133060,9735
251906,9735
342003,9974
330531,9982
339622,9982
66496,9994
322047,10063
158188,10127
302646,10127
330594,10127
228526,10181
19221,10203
118062,10257
339622,10330
330594,10349
339622,10349
330594,10527
147157,10607
314121,10607
342003,10607
330594,10622
307987,10655
339622,10655
342003,10655
339622,10692
158188,10814
330594,10814
123058,10891
314121,10891
330556,10891
162678,10899
330504,10899
339622,10899
66496,10911
330594,10959
201680,10990
330594,11005
330638,11005
330504,11015
330594,11015
330603,11015
123058,11021
133060,11021
158188,11021
314121,11035
302255,11075
330594,11075
6911,11102
97286,11102
129667,11102
161106,11102
202052,11102
221727,11102
275883,11102
339885,11102
340165,11102
357340,11102
339622,11326
342003,11326
97286,11515
338047,11515
339622,11515
342003,11515
123058,11603
330504,11701
339622,11701
118062,11739
330504,11762
339622,11762
190798,11785
190798,11787
330594,11787
144258,11793
339622,11793
330594,11843
330621,11843
123058,12018
19221,12372
322047,12515
63749,12819
140433,12819
339622,12819
318776,12918
330594,13060
322047,13065
66496,13113
118062,13168
330504,13173
339622,13173
118062,13195
123058,13401
13452,13460
129667,13544
322047,13544
283564,13636
302255,13641
339622,13641
339629,13641
330594,13766
330603,13766
158188,13858
330594,13858
94919,13894
66496,14002
330594,14048
129124,14347
330594,14347
330594,14434
330613,14434
330626,14434
302234,14555
339622,14555
342003,14555
339622,14574
14577,14578
339622,14585
14577,14593
314121,14709
29963,14725
314121,14725
334503,14725
118062,14756
339622,14761
147157,14873
302646,14875
339622,14875
158188,14971
330594,14971
330635,14971
158188,15150
330594,15150
330594,15270
123058,15359
118062,15360
339622,15394
325608,15407
339622,15407
275883,15432
339622,15432
330504,15496
339622,15496
339622,15496
330594,15602
158188,15662
330594,15662
333598,15674
297202,15777
339622,15777
123058,15781
158188,15781
314121,15781
330594,15781
339622,15809
314121,15836
123058,15989
302234,15993
339622,15993
342003,15993
66875,16043
314121,16043
339622,16280
16293,16292
16293,16295
16293,16296
342003,16299
339622,16300
16293,16306
16293,16307
16293,16309
63749,16312
339622,16312
342003,16312
123058,16319
158188,16319
330594,16319
339622,16319
340165,16319
16293,16400
319311,16403
339622,16403
146763,16407
339622,16566
314121,16592
314121,16610
319689,16610
6911,16615
275883,16628
339622,16628
339825,16628
357340,16628
339622,16648
339622,16730
330594,16762
120710,16792
348828,17059
63749,17449
342003,17449
302234,17460
330594,17460
339622,17462
330531,17472
339622,17472
302255,17483
314121,17483
158188,17627
339622,17643
275824,17851
339622,17851
314121,17856
319698,17856
330594,17856
330621,17856
330594,17861
202087,17865
339622,17882
151110,17983
283564,18039
37258,18123
339622,18123
339622,18154
66496,18165
330594,18246
339622,18255
330621,18277
357340,18290
358682,18290
6911,18292
24661,18292
44686,18292
330594,18292
158188,18337
330594,18359
96983,18396
97286,18396
105956,18396
140433,18396
161106,18396
167541,18396
167610,18396
242837,18396
269255,18396
275883,18396
301327,18396
316503,18398
314121,18469
123058,18471
6911,18485
322047,18485
330504,18498
339622,18498
201648,18504
339622,18504
339629,18504
123058,18506
302234,18506
339622,18506
342003,18506
97286,18516
158188,18518
330594,18518
330544,18518
330594,18530
330638,18530
314121,18550
339622,18560
330504,18573
330531,18573
339622,18597
330594,18633
339622,18697
339629,18697
66628,18822
342131,18822
