Source,Target
339622,404
342003,404
339622,1121
342003,1121
63749,1237
295459,1237
330594,1237
339622,1237
342003,1237
357340,1237
339622,1388
344059,1591
339622,1769
97286,1806
161106,1806
319311,1806
339622,1806
357340,1806
339622,1907
339622,1921
339622,2294
339622,2311
19221,2315
2315,2323
2330,2323
2315,2330
63749,2346
66883,2346
140433,2346
221739,2346
295459,2346
302234,2346
330594,2346
330556,2346
333263,2346
336343,2346
338047,2346
339622,2346
339629,2346
26664,2368
105956,2368
302234,2368
339622,2368
342003,2368
63749,2370
106696,2370
302646,2370
339622,2370
342003,2370
339622,2372
267310,2626
330504,2626
339622,2626
97286,2723
149118,2723
339622,2723
357340,2764
330594,2768
330544,2768
339622,2835
66875,2868
66876,2868
314121,2868
339622,2868
342003,2868
116226,3088
339622,3626
339622,3631
339622,3765
330504,3934
339622,3934
63749,4149
275883,4149
302234,4149
339622,4149
339885,4149
342003,4149
357340,4149
330504,4192
330594,4192
330588,4192
144258,4200
330594,4200
339629,4200
330594,4325
339622,4376
330504,4514
26559,6340
330594,6340
330621,6340
185004,6406
197545,6406
330504,6406
339622,6406
8654,6408
275909,6408
330504,6408
339622,6408
340165,6408
342003,6408
158188,6464
330594,6464
339622,6464
144258,6911
339622,7176
8654,8651
314121,8651
140433,8654
302234,8654
314121,8654
330531,8654
339622,8654
342003,8654
357340,8654
8654,8662
304813,8662
8654,8668
8686,8668
8654,8686
63749,8686
339622,8686
275946,8692
276021,8692
314121,8692
330531,8692
339622,8692
339622,8752
330531,8770
339622,8770
97286,9004
99762,9004
147353,9004
305769,9004
339622,9004
342003,9004
330531,9023
336343,9023
339622,9023
158188,9040
330594,9040
266866,9758
339622,9758
314121,9927
339622,9927
342003,9927
158188,10106
302646,10106
330594,10106
27544,10284
283564,10284
330594,10284
339622,10284
132826,10620
185005,10620
10620,10623
185004,10623
185845,10688
185947,10688
339622,10688
330594,10717
330621,10717
66634,10739
11578,11577
158188,11577
330594,11577
158188,11578
330594,11578
158188,11664
330594,11664
330638,11664
302234,11685
339622,11685
342003,11685
97286,11804
97283,11804
339622,11804
97286,11871
339622,11871
158188,12312
330594,12312
330544,12312
330588,12312
333636,12312
339622,12312
54654,12326
221727,12326
330594,12326
330588,12326
333483,12326
339622,12326
339622,13830
94919,13854
342003,13854
63749,14061
242837,14061
275883,14061
276021,14061
283564,14061
330504,14061
330772,14061
338047,14061
342003,14061
339622,14409
59054,14577
302234,14577
319689,14577
63749,15401
95048,15401
339622,15401
